dataset,thresh,n_iter,avg_residual
bark,10.0,100,21.754963390578173
boat,10.0,100,4609.939967094814
graf,10.0,100,128.92327476718475
wall,10.0,100,127.59000508769607
bark,1.0,100,15.2756512597606
boat,1.0,100,38.67217358757006
graf,1.0,100,40.66482463555265
wall,1.0,100,26.44576446030684
bark,0.1,100,3.8865310275786635
boat,0.1,100,20.759532181676963
graf,0.1,100,11.333466222139892
wall,0.1,100,9.564891429916406
bark,0.01,100,4.2638181956425525
boat,0.01,100,9.324550136434054
graf,0.01,100,4.210505214956007
wall,0.01,100,5.253451584705271
bark,0.001,100,2.969705370524431
boat,0.001,100,6.497439152000974
graf,0.001,100,1.5511665860686783
wall,0.001,100,2.6534482048866717
bark,0.0001,100,3.1572890842445003
boat,0.0001,100,6.436366049965026
graf,0.0001,100,1.9587323870360105
wall,0.0001,100,1.6097834503745039
bark,1e-05,100,3.1936818716739954
boat,1e-05,100,5.43941657844937
graf,1e-05,100,1.5648618223602841
wall,1e-05,100,1.5678151089335313
bark,10.0,1000,44.549407436697955
boat,10.0,1000,456.8946408941024
graf,10.0,1000,165.56151560627924
wall,10.0,1000,2236.869918354403
bark,1.0,1000,11.460118482019412
boat,1.0,1000,46.09448393331034
graf,1.0,1000,44.99593390833578
wall,1.0,1000,70.68859797865679
bark,0.1,1000,3.969046379506232
boat,0.1,1000,12.214126461763469
graf,0.1,1000,12.61428335667657
wall,0.1,1000,9.842378738928211
bark,0.01,1000,3.679228117167684
boat,0.01,1000,7.010474302496912
graf,0.01,1000,2.456166006676165
wall,0.01,1000,3.6110988237971595
bark,0.001,1000,3.2530874390988624
boat,0.001,1000,6.491803552989829
graf,0.001,1000,1.6696638695701798
wall,0.001,1000,3.633246966742892
bark,0.0001,1000,3.1725660309847368
boat,0.0001,1000,6.63024649350319
graf,0.0001,1000,1.4822969050233916
wall,0.0001,1000,1.707938289885981
bark,1e-05,1000,3.1972851170244767
boat,1e-05,1000,4.763022559578124
graf,1e-05,1000,1.2388189773994271
wall,1e-05,1000,1.7265021810896608
bark,10.0,10000,686.1298838566865
boat,10.0,10000,296.65846825291743
graf,10.0,10000,172.34395895800532
wall,10.0,10000,3128.587187224024
bark,1.0,10000,25.52234499887953
boat,1.0,10000,90.43359913102212
graf,1.0,10000,64.68756829419432
wall,1.0,10000,90.00527485169876
bark,0.1,10000,4.5815896496690955
boat,0.1,10000,38.584369289471155
graf,0.1,10000,10.284539713736363
wall,0.1,10000,14.67822387136714
bark,0.01,10000,3.3125672484354096
boat,0.01,10000,9.258466282902534
graf,0.01,10000,4.569872225539593
wall,0.01,10000,4.461156840832561
bark,0.001,10000,3.3603801768999513
boat,0.001,10000,6.9618318435393105
graf,0.001,10000,1.8063156015623183
wall,0.001,10000,3.663255927396607
bark,0.0001,10000,3.1527045654900294
boat,0.0001,10000,5.880791674439264
graf,0.0001,10000,1.600255242905233
wall,0.0001,10000,1.8428945302210902
bark,1e-05,10000,3.1866264759033878
boat,1e-05,10000,5.0701604621414225
graf,1e-05,10000,1.254759101048157
wall,1e-05,10000,1.703295691416616
