dataset,sample_ratio,gn_n_iter,avg_residual
bark,0.03,5.0,3.1744310765840247
boat,0.03,5.0,5.18639713771091
graf,0.03,5.0,1.1676087324273419
wall,0.03,5.0,1.693254654579523
bark,0.06,5.0,3.1698831679238144
boat,0.06,5.0,5.2186279088493635
graf,0.06,5.0,1.368053299650202
wall,0.06,5.0,1.695100506782972
bark,0.09,5.0,3.182263942851575
boat,0.09,5.0,5.255194821132149
graf,0.09,5.0,1.5765630599472158
wall,0.09,5.0,1.6511738911794163
bark,0.12,5.0,3.1991985147574784
boat,0.12,5.0,5.505637779201722
graf,0.12,5.0,1.6124752756496912
wall,0.12,5.0,1.7403667495938853
bark,0.03,10.0,3.1954275034035353
boat,0.03,10.0,5.24751568266424
graf,0.03,10.0,4.572177841726918
wall,0.03,10.0,1.6961931342121015
bark,0.06,10.0,3.173397151584108
boat,0.06,10.0,4.970746778262374
graf,0.06,10.0,3.301435695403841
wall,0.06,10.0,1.6570676050579247
bark,0.09,10.0,3.1511794918468277
boat,0.09,10.0,4.809681570971568
graf,0.09,10.0,1.816702772529645
wall,0.09,10.0,1.7235777993507886
bark,0.12,10.0,3.183662738457373
boat,0.12,10.0,6.290855245965488
graf,0.12,10.0,2.7364727009672487
wall,0.12,10.0,1.7467017770406372
bark,0.03,30.0,3.1865889970582333
boat,0.03,30.0,4.872103072467312
graf,0.03,30.0,5.645596555419317
wall,0.03,30.0,1.6558413554565234
bark,0.06,30.0,3.1775425984167684
boat,0.06,30.0,4.988923146781824
graf,0.06,30.0,2.114543160898699
wall,0.06,30.0,1.7060828416512466
bark,0.09,30.0,3.1745347610545687
boat,0.09,30.0,4.9210900121252115
graf,0.09,30.0,1.8081958327656389
wall,0.09,30.0,1.6330720986194172
bark,0.12,30.0,3.179405654033688
boat,0.12,30.0,4.896785474076683
graf,0.12,30.0,1.912072754252763
wall,0.12,30.0,1.6656602895080437
