dataset,sample_ratio,gn_n_iter,avg_residual
bark,0.03,5.0,3.1764882294424464
boat,0.03,5.0,6.09660289247983
graf,0.03,5.0,3.1479469272512035
wall,0.03,5.0,1.7434898017584342
bark,0.06,5.0,3.199963481534208
boat,0.06,5.0,5.837257144774498
graf,0.06,5.0,1.4601391232744811
wall,0.06,5.0,1.6646368765140533
bark,0.09,5.0,3.182980744373638
boat,0.09,5.0,5.319380474973719
graf,0.09,5.0,1.8877148223286306
wall,0.09,5.0,1.678094856386671
bark,0.12,5.0,3.1718131271694503
boat,0.12,5.0,4.957059481439289
graf,0.12,5.0,2.999561039093327
wall,0.12,5.0,1.6981501581612697
bark,0.03,10.0,3.1999889194118993
boat,0.03,10.0,5.93598129582728
graf,0.03,10.0,1.3985750948041291
wall,0.03,10.0,1.728511976695501
bark,0.06,10.0,3.1716529862820457
boat,0.06,10.0,5.909263587848462
graf,0.06,10.0,3.460101085317283
wall,0.06,10.0,1.6642318977735442
bark,0.09,10.0,3.1918291477421628
boat,0.09,10.0,5.908646665580159
graf,0.09,10.0,1.5903358226304798
wall,0.09,10.0,1.631996756922629
bark,0.12,10.0,3.169071163568373
boat,0.12,10.0,5.565873738148258
graf,0.12,10.0,2.072034167851071
wall,0.12,10.0,1.81720755291501
bark,0.03,30.0,3.1799192404207814
boat,0.03,30.0,5.874259504842886
graf,0.03,30.0,1.24912828245701
wall,0.03,30.0,1.606486642728838
bark,0.06,30.0,3.167420394578538
boat,0.06,30.0,5.144537151535957
graf,0.06,30.0,1.533952878571896
wall,0.06,30.0,1.7123328832125815
bark,0.09,30.0,3.200630215762511
boat,0.09,30.0,5.102525690240751
graf,0.09,30.0,1.7851412732327498
wall,0.09,30.0,1.752182615903883
bark,0.12,30.0,3.2030684175268576
boat,0.12,30.0,5.7014049778051294
graf,0.12,30.0,3.1944257619062277
wall,0.12,30.0,1.6922509710881348
