thresh,n_iter,bark,boat,graf,wall
1e-05,100,3.1937,5.4394,1.5649,1.5678
1e-05,1000,3.1973,4.763,1.2388,1.7265
1e-05,10000,3.1866,5.0702,1.2548,1.7033
0.0001,100,3.1573,6.4364,1.9587,1.6098
0.0001,1000,3.1726,6.6302,1.4823,1.7079
0.0001,10000,3.1527,5.8808,1.6003,1.8429
0.001,100,2.9697,6.4974,1.5512,2.6534
0.001,1000,3.2531,6.4918,1.6697,3.6332
0.001,10000,3.3604,6.9618,1.8063,3.6633
0.01,100,4.2638,9.3246,4.2105,5.2535
0.01,1000,3.6792,7.0105,2.4562,3.6111
0.01,10000,3.3126,9.2585,4.5699,4.4612
0.1,100,3.8865,20.7595,11.3335,9.5649
0.1,1000,3.969,12.2141,12.6143,9.8424
0.1,10000,4.5816,38.5844,10.2845,14.6782
1.0,100,15.2757,38.6722,40.6648,26.4458
1.0,1000,11.4601,46.0945,44.9959,70.6886
1.0,10000,25.5223,90.4336,64.6876,90.0053
10.0,100,21.755,4609.94,128.9233,127.59
10.0,1000,44.5494,456.8946,165.5615,2236.8699
10.0,10000,686.1299,296.6585,172.344,3128.5872
